Stimulus Number,Stimulus Display Time,Response Time,Reaction time
Stimulus1,27.1564716,30.7428994,3.5864278
Stimulus2,32.2536455,33.9362669,1.6826214
Stimulus3,35.4534283,37.0549231,1.6014948
Stimulus4,38.5691227,40.6469767,2.077854
Stimulus5,42.1687232,43.8756,1.7068768
Stimulus6,45.3986676,46.2939525,0.8952849
Stimulus7,47.8138644,51.463668,3.6498036
Stimulus8,52.9807762,56.4448442,3.464068
Stimulus9,57.9605822,59.3529962,1.392414
Stimulus10,60.8770359,62.4316221,1.5545862
,,,
,,,
,,Mean ,2.16114315
